"Component","Description","Part","References","Value","Footprint","Quantity Per PCB","Datasheet","Part#","Placement","Package_ID","Characteristics"
"1","-","Battery","BT2","3V [CR2032]","Keystone_106_1x20mm-CoinCell","1","","KEYSTONE 103","-","-","-"
"2","-","Battery","BT1","Battery","JST_EH_B02B-EH-A_02x2.50mm_Straight","1","","JST-B2B-XH-A","-","-","-"
"3","-","C_Small","C3 C5 C16 C17 C18 C20 C21 C22","100nF","C_0805","8","","-","-","-","-"
"4","-","CP_Small","C1 C2","100uF","CP_Elec_5x5.3","2","","EEEFT1C101AR","-","-","-"
"5","-","C_Small","C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C19","10nF","C_0805","11","","-","-","-","-"
"6","-","CP_Small","C4","10uF","C_0805","1","","-","-","-","-"
"7","-","SD_Card","CON1","SD_Card","Conn_uSDcard","1","http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf","SD_Card[uSD]","-","-","-"
"8","-","1N4001","D2 D3","1N4448W-7-F","D_SOD-123","2","http://www.vishay.com/docs/88503/1n4001.pdf","1N4448W-7-F","-","-","-"
"9","-","LED_Dual_ACA","D1","LED_Dual_ACA","LED_D3.0mm-3","1","","L-93WEGW","-","-","-"
"10","-","ATMEGA328P-AU","IC1","ATMEGA328-P","TQFP-32_7x7mm_Pitch0.8mm","1","http://www.atmel.com/images/atmel-8271-8-bit-avr-microcontroller-atmega48a-48pa-88a-88pa-168a-168pa-328-328p_datasheet.pdf","ATMEGA328P-AU","-","-","-"
"11","-","Conn_01x03","J2","CONN_01X03","Pin_Header_Straight_1x03_Pitch2.54mm","1","","-","-","-","-"
"12","-","Conn_01x05","J3","CONN_01X05","Pin_Header_Straight_1x05_Pitch2.54mm","1","","-","-","-","-"
"13","-","Conn_02x03_Top_Bottom","J4","Conn_02x03_Top_Bottom","Pin_Header_Straight_2x03_Pitch2.54mm","1","","-","-","-","-"
"14","DC Input jack","FC68127","J1","FC68127","CLIFF_FC68127","1","http://www.cliffuk.co.uk/products/jacksockets/jacksockets4pole.pdf","FC68127","-","-","-"
"15","-","Ferrite_Bead_Small","L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16","Ferrite_Bead_Small","L_0805","16","","MPZ2012S101A","-","-","-"
"16","-","BD139","Q1","BD139","SOT-23","1","","MMBT3904LT1G","-","-","-"
"17","-","R_Small","R3 R4 R10","10k","R_0805","3","","-","-","-","-"
"18","-","R_Small","R5 R6 R7","22k","R_0805","3","","-","-","-","-"
"19","-","R_Small","R11","330R","R_0805","1","","-","-","-","-"
"20","-","R","R8 R9","4.7k","R_0805","2","","-","-","-","-"
"21","-","R_Small","R1 R2","750R","R_0805","2","","-","-","-","-"
"22","-","SW_Push","SW2 SW3","SW_PUSH","SW_SPST_B3S-1000","2","","SKHHAJA010","-","-","-"
"23","-","SW_SPST","SW1","SW_SPST","JST_EH_B02B-EH-A_02x2.50mm_Straight","1","","JST-B2B-XH-A","-","-","-"
"24","-","ADG407","U4","ADG407BPZ","PLCC-28","1","http://www.analog.com/media/en/technical-documentation/data-sheets/ADG406_407_426.pdf","ADG407BPZ","-","-","-"
"25","-","DS3231","U13","DS3231","SOIC-16W_7.5x10.3mm_Pitch1.27mm","1","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","DS3231M+","-","-","-"
"26","-","I2C_20x4_DISPLAY","U12","I2C_20x4_DISPLAY","Pin_Header_Straight_1x06_Pitch2.54mm","1","","-","-","-","-"
"27","-","7805","U1","LF50_TO252","TO-252-3_TabPin4","1","regulator\lm78xx.pdf","LF50ABDT-TR","-","-","-"
"28","-","MAX31855KASA","U14","MAX31855KASA","SOIC-8_3.9x4.9mm_Pitch1.27mm","1","http://datasheets.maximintegrated.com/en/ds/MAX31855.pdf","MAX31855KASA","-","-","-"
"29","-","MCP1703A-3302_SOT23","U2","MCP1703A-3302_SOT23","SOT-23","1","http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf","MCP1703A-3302_SOT23","-","-","-"
"30","-","TC_Connector","U3 U5 U6 U7 U8 U9 U10 U11","TC_Connector","JST_EH_B02B-EH-A_02x2.50mm_Straight","8","","JST-B2B-XH-A","-","-","-"
"31","-","Crystal_GND24","Y1","Crystal_8MHz","Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm","1","","ABM3B","-","-","8MHz"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Component Groups:","31","","","","","","","","","",""
"Component Count:","79","","","","","","","","","",""
"Fitted Components:","79","","","","","","","","","",""
"Number of PCBs:","1","","","","","","","","","",""
"Total components:","79","","","","","","","","","",""
"Schematic Version:","2.1","","","","","","","","","",""
"Schematic Date:","2017-05-15","","","","","","","","","",""
"BoM Date:","Wednesday, 06 December 2017 'pmt' 17:55:33","","","","","","","","","",""
"Schematic Source:","/Users/johnpateman/Thermocouple_datalogger/Ver_3V3/ThermocoupleLogger.sch","","","","","","","","","",""
"KiCad Version:","Eeschema (2017-07-16 revision e797af3)-master","","","","","","","","","",""